lateral_range,lateral_range_delta,lateral_range_percent_change,forward_velocity,forward_velocity_delta,forward_velocity_percent_change,run_name
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA08
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA09
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA10
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA11
0.01554750,0.00000000,0.00000000,0.00028169,0.00000000,0.00000000,VA12
0.01554744,-0.00000006,-0.00039468,0.00028167,-0.00000003,-0.00902693,DD04
0.01554722,-0.00000028,-0.00181490,0.00028177,0.00000007,0.02584914,VD12
0.01554716,-0.00000034,-0.00220764,0.00028177,0.00000008,0.02718993,DD01
0.01554712,-0.00000038,-0.00246979,0.00028159,-0.00000011,-0.03780709,VB05
0.01554675,-0.00000075,-0.00481028,0.00028169,-0.00000001,-0.00212032,VD04
0.01554662,-0.00000088,-0.00568379,0.00028154,-0.00000015,-0.05303907,VB11
0.01554660,-0.00000090,-0.00579066,0.00028185,0.00000015,0.05450458,VD01
0.01554518,-0.00000232,-0.01493436,0.00028156,-0.00000013,-0.04660017,DB04
0.01554485,-0.00000265,-0.01705299,0.00028191,0.00000022,0.07639372,DD06
0.01554474,-0.00000276,-0.01773483,0.00028207,0.00000037,0.13233263,VB08
0.01554149,-0.00000601,-0.03867100,0.00028165,-0.00000004,-0.01568410,VB10
0.01554120,-0.00000630,-0.04053820,0.00028179,0.00000010,0.03420568,VB02
0.01554042,-0.00000708,-0.04550993,0.00028037,-0.00000132,-0.46910420,DB07
0.01553705,-0.00001045,-0.06722540,0.00028170,0.00000001,0.00352347,VB07
0.01552722,-0.00002028,-0.13042469,0.00028163,-0.00000007,-0.02363528,VB06
0.01551577,-0.00003173,-0.20406673,0.00027902,-0.00000267,-0.94793690,VD05
0.01551548,-0.00003202,-0.20596836,0.00027905,-0.00000264,-0.93731973,VD07
0.01551540,-0.00003209,-0.20642964,0.00027902,-0.00000268,-0.95035344,VD06
0.01551116,-0.00003634,-0.23371715,0.00028153,-0.00000016,-0.05729529,DB05
0.01550919,-0.00003831,-0.24640164,0.00027943,-0.00000226,-0.80330333,DB02
0.01550710,-0.00004040,-0.25985601,0.00028019,-0.00000150,-0.53319697,DB06
0.01550265,-0.00004485,-0.28846986,0.00028336,0.00000167,0.59368832,VB03
0.01548403,-0.00006347,-0.40822019,0.00027950,-0.00000220,-0.77991749,VB04
